Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
LIGHTNING CREEK INVESTMENT GROUP,317,3,2,1,0,1,33.3,100,0,0,2.5,2.5,3,3,3.7,3.2,0.5,61,16.7,1.5,7,2.3,200834,66944.67,4,1.3,5.4,23.6,7,0,85.8,73.2,77,1.39,0.83,24.9,4.5,6,4.9,1.4,14,26.9,97.1,92.2,0,31.5,1.3,7.4,33.4,9.8,2.9,0
LINKS HEALTHCARE GROUP,318,13,1,0,0,1,7.7,100,0,0,3.4,3,3.3,4.5,4,3.7,0.4,45.1,50,0.6,29,2.2,214489.83,16499.22,2,0.2,24.5,12.4,1.5,1.2,87.1,98,99.1,2.1,0.92,8.4,1.6,6.6,0.9,1.3,9.7,5.6,99.9,100,0,20.1,6.2,2.3,9.4,10.3,45.5,23.8
LIONSTONE CARE,611,18,1,0,0,0,0,100,0,0,2.2,2.6,1.5,3.9,3.6,3.2,0.6,59.2,57.7,0.8,46,2.6,502742.33,27930.13,5,0.3,25.4,14.4,1.6,3,79.4,52.9,61.6,2.12,1.68,15.6,4,7.7,1,0.3,11.6,13.7,86.5,83.1,0,39.3,7,32.6,25.2,10,32.4,2.4
LITTLE SISTERS OF THE POOR,319,3,3,0,0,0,0,0,100,0,5,4.7,5,3.7,5.4,5,1.5,31.6,26.2,0,0,0,0,0,1,0.3,,,,,,78.1,70.4,1.74,0.47,6.5,6.3,2.9,2.8,1.2,22.8,17.2,99.8,95.2,0,48.8,7.4,2.6,14.7,,95.7,18.5
LIVE OAK HEALTHCARE,320,7,1,0,0,0,0,100,0,0,2.4,3.1,1.3,2,3.2,2.7,0.4,61.8,59,0.5,13,1.9,181423.44,25917.63,2,0.3,27.8,21,3.4,4.7,49.6,79,81,2.34,1.95,16.2,3.9,6.9,3,1.4,17.9,20.3,98.8,92,0,42.5,2.1,3.4,29,12.3,45.3,17.2
LME FAMILY HOLDINGS,321,16,3,1,1,2,12.5,93.8,6.3,0,2.1,2,2,3.4,3.8,3.4,0.7,64,60.1,1.3,81,5.1,850226.43,53139.15,0,0,23.6,11,2.4,2.3,78,50.5,47.9,2.1,1.04,11.5,2.1,8.3,1.3,1.1,17.6,17.3,85.4,71.7,0.1,49.5,5.9,4,18.5,10.6,48.1,36.4
LOFT HEALTHCARE,322,5,1,0,1,1,20,100,0,0,1.4,1.4,1.2,2.6,3.5,3.2,0.3,59.2,70.9,,35,7,1433759.75,286751.95,14,2.8,24.9,12.6,1.5,3.1,66.6,70,80.2,1.95,1.92,12.3,3.4,8.4,3.4,2.1,14.8,10.1,95.5,90.9,0.1,53.8,12.5,11.5,20.5,11.3,42.7,4
LONGWOOD MANAGEMENT CORPORATION,323,37,1,0,0,4,10.8,100,0,0,2.3,2.1,2.9,3.9,4.2,3.8,0.4,43.5,48.3,0.8,154,4.2,1059373.32,28631.71,6,0.2,22.5,8,2.1,0.6,77.5,78.7,78.4,2.77,0.81,9.5,1.6,9.5,1.8,0.9,9.5,10.6,97.1,95.5,0.4,40,5.6,0.1,10.6,11,65.3,18.3
LORIEN HEALTH SERVICES,324,8,1,0,0,0,0,100,0,0,3.6,3.8,3.1,3,4.1,3.6,0.8,53,53.5,0.6,7,0.9,41818.4,5227.3,0,0,25.5,11.7,1.4,3.1,75.7,93.8,92,2.07,0.86,14.6,4.4,9.7,5.8,1.4,29.2,16.9,98,96.6,0,77,6.7,13.2,11,11,52.1,8.7
LUTHERAN SENIOR SERVICES,326,8,2,0,0,1,12.5,0,100,0,4.8,4.3,4.4,4.6,4.7,4.1,1.1,52,43,0.3,2,0.3,25960,3245,0,0,21.8,12.8,0.8,4.1,89.9,88.9,85.9,1.38,0.73,14.2,3.6,5,2.5,1.5,10,5.7,94.2,93.8,0,51,6.5,2.4,21.6,10.5,62.2,4
LUTHERAN SERVICES CAROLINAS,327,7,1,0,0,0,0,0,100,0,4,4,3.9,2.9,4.7,4.1,0.8,45.3,30.5,0.7,1,0.1,650,92.86,0,0,21.5,9.3,2.4,4.1,70.7,84,78.8,1.77,0.9,17.4,4.8,7.2,4.8,1.9,22.2,16.6,98.6,90.5,0,65.6,8.5,1.1,24.2,9.2,50,3.2
MADISON CREEK PARTNERS,328,12,2,0,0,4,33.3,100,0,0,2.3,2.2,2.5,3.6,3.5,3.4,0.5,57.9,52,1,63,5.3,942634.57,78552.88,1,0.1,20.5,12.3,2.4,0.7,76.2,75.4,79.4,1.59,1.38,22.4,4.4,7,1.3,0.9,15.4,13.3,93.9,92.9,0,39.6,6.2,0.7,15.9,10.6,56.9,19.5
MAGNOLIA MANOR SENIOR LIVING,329,6,1,0,0,0,0,0,100,0,3.3,3.2,2.8,3.3,3.9,3.3,0.5,49.6,49.6,0.3,6,1,15671.7,2611.95,0,0,24.8,15,1.9,2.6,79.5,90.3,95,1.83,1.29,12.4,3.4,9.7,3.1,1,13,12.7,98.6,99.5,0,25.1,4.7,1.8,20,11.5,60.8,1.4
MAINE VETERANS' HOME,330,5,1,0,0,0,0,0,100,0,5,4.6,4.8,4.2,5.4,4.5,1.5,44.5,37.5,0.2,2,0.4,8550.75,1710.15,0,0,12.5,5.7,0,3.5,67.4,78.4,85.9,0.79,0.69,14.4,5.3,5.1,2.8,1.1,18.1,14.6,96.6,96.4,0,64.4,7.8,8.6,15.9,9.4,65.1,5.6
MAJESTIC CARE,331,27,3,2,1,4,14.8,66.7,11.1,22.2,1.6,1.7,1.1,3.8,3.1,2.7,0.4,65.3,66,0.9,115,4.3,2781747.91,103027.7,23,0.9,20.5,10.4,2.4,3.9,69,53.1,57.4,1.68,0.85,19.6,3.5,9.1,0.7,0.6,6.9,11.9,85.3,81.4,0.1,52.5,8,48.6,23.1,10.4,37.1,13.8
MAJOR HOSPITAL,332,13,1,0,5,2,15.4,46.2,30.8,23.1,1.8,1.8,2.1,2.4,3.6,3.2,0.5,52.5,53.7,0.5,76,5.8,1313435.83,101033.53,11,0.8,27.9,12.6,2.6,2.9,73.1,57.7,52.6,2.32,1.42,19,3.2,8.4,3.1,1.2,16.7,17.2,89.2,74.5,0,56.6,5.5,12,21.3,10.9,59.5,33.1
MAPLE SPRINGS LIVING,333,3,2,0,0,0,0,100,0,0,2.3,1.7,4.3,4,5.6,5,1.4,53.4,43.6,0,33,11,174958.59,58319.53,1,0.3,21.8,14.2,1.8,2.8,81,87.4,87.2,2.01,1.46,12.7,5.3,11.4,3.8,4.5,11.3,8,98.4,95.4,0,55.7,4.5,3.6,16.1,9.9,30.1,2.7
MARINER HEALTH CARE,334,19,1,0,0,4,21.1,100,0,0,3.3,2.7,3.7,4.3,4.1,3.8,0.5,40.2,43.1,0.6,106,5.6,535890.26,28204.75,0,0,21.2,10.3,0.8,0.6,78.9,99.7,99.9,1.97,0.92,9.4,2,7.7,0.2,0.3,6.8,6.1,99.9,99.9,0.1,23.4,4,0.9,11.8,11.3,51.3,23
MARQUIS COMPANIES,335,16,3,0,0,0,0,100,0,0,4.4,4.1,3.9,3.9,4.7,4.3,0.8,51.2,40.2,0.3,19,1.2,520827.51,32551.72,1,0.1,19,13.1,1.3,5.9,79.7,72.3,85.4,1.45,1.11,14.3,1.5,12.4,3.2,2.1,22.8,14.4,89.5,95.5,0,59,5.3,3.9,10.8,9.7,45.2,4.9
MARQUIS HEALTH SERVICES,336,64,9,1,1,4,6.3,95.3,3.1,1.6,3,2.6,2.2,4.4,3.4,3,0.7,53.4,53.7,1.1,112,1.8,2403870.87,37560.48,4,0.1,25.2,10.5,1.1,2.2,90.3,64.1,65.1,1.83,0.87,13.9,2.9,8.1,1.2,0.6,9.1,9.8,92.2,85.3,0.1,59.2,6.9,13.3,17.7,10.7,45.8,25
MARSH POINTE MANAGEMENT,337,6,2,0,0,0,0,100,0,0,2,2.2,3.7,2.8,3.7,3.4,0.5,55.8,47.5,0.3,11,1.8,149992.57,24998.76,0,0,20.7,28,2.3,3.8,72.6,56.8,66.4,1.91,1.46,27.6,4,7.1,3.6,0.7,14.9,16,95.1,93,0,34.2,2.3,3.7,24.8,10.4,59,7.9
MAXIMUS HEALTHCARE GROUP,338,10,3,0,1,1,10,100,0,0,3.2,3.2,2.5,3.3,3.6,3.1,0.4,53.6,59.1,0.2,19,1.9,776616.17,77661.62,1,0.1,19.2,13.8,1.8,3,78.1,73.9,78.5,1.85,1.05,7.8,2.4,8.8,1.7,1.1,16.5,15.7,93.9,94.6,0,56.2,9,4.1,19,10.3,56.2,13
MAYER FAMILY,340,8,2,0,0,1,12.5,100,0,0,3.1,2.8,1.9,3.5,3.4,2.9,0.6,48.9,47.9,0.4,5,0.6,100498.78,12562.35,1,0.1,18.7,11.3,1.8,3.8,71.8,67.2,62.8,1.66,1.15,13.2,2.3,9,2.5,1.4,15.5,18,90.1,82.2,0.1,50.3,6.5,11.4,13.7,11.5,46.2,6.1
MB HEALTHCARE,341,6,1,0,0,0,0,100,0,0,3.5,2.8,2.7,4.7,3.3,3,0.5,48.3,33.5,0.8,10,1.7,107166.78,17861.13,1,0.2,23.5,6.5,0.7,1.2,93.5,93.5,99.4,2.46,0.71,5.8,2.2,6.4,0.1,1.2,5.4,4.1,99.3,99.4,0,46.8,5.9,9.6,15.4,10.2,76.4,64.7
MCCULLOCH COUNTY HOSPITAL DISTRICT,342,5,1,0,0,0,0,80,0,20,2.6,3,1.2,3.4,2.9,2.6,0.3,66.4,83.3,0.8,6,1.2,73577.33,14715.47,2,0.4,23.7,17.1,0.9,1.8,69.5,79,96,2.65,2.02,1.5,2.8,5.3,0.6,2.1,14.4,16.2,97.1,100,0.2,46.4,5.9,2.2,29.6,11.1,17.8,7.3
MEDICAL FACILITIES OF AMERICA,343,36,2,1,1,2,5.6,94.4,2.8,2.8,2,2.6,1.1,3.7,3.3,2.8,0.4,63.9,62.2,0.5,42,1.2,2254154.47,62615.4,7,0.2,22,12.6,1.4,3.3,81.1,64.2,67.3,1.52,1.11,10.6,3.4,9.3,2.1,0.8,16.2,19.1,90.5,86.1,0,57,6.4,26.5,19.8,10.8,36.5,2.1
"MEDICALODGES, INC.",344,22,3,0,1,3,13.6,100,0,0,2.2,2.3,3,2.8,3.7,3.2,0.6,96.4,97.1,1.4,21,1,367940.25,16724.56,8,0.4,22.8,13.3,0.7,2.6,82.4,54,61.8,1.93,1.42,20.2,4.8,6.1,2.6,1.8,20.3,18.7,89.4,75.6,0,43.4,5.1,2.6,23.6,10.3,38.5,3.4
MEDILODGE,345,50,1,0,1,8,16,100,0,0,3.1,2.6,3.8,4.3,3.9,3.3,0.9,49.7,42.6,0.7,111,2.2,4155451.05,83109.02,22,0.4,22.4,12.3,1.2,2.2,85.7,75,77.5,1.91,1.13,13.4,3.2,9,1.1,0.5,10.4,8,94.7,95.3,0.4,49.1,7.7,2.5,25,10.5,38.2,6.5
MERCYHEALTH SYSTEM,346,3,2,0,0,0,0,0,100,0,4.7,4.3,5,4.3,5.7,5,2.3,29.2,11.1,0,2,0.7,80078.64,26692.88,0,0,23.9,12.3,0.3,3.4,63.2,95,94.9,1.03,0.82,0,0,9.8,3.7,0,25.6,10.8,94.3,100,0,,2.6,0,5.1,10.5,30.1,4.1
MGM HEALTHCARE,348,26,3,1,1,1,3.8,100,0,0,1.9,1.9,1.6,3.1,3.3,2.8,0.4,69.2,64.4,0.7,87,3.3,2023711.25,77835.05,15,0.6,23.7,13.3,0.9,2.5,70,53.2,57.3,2.13,1.69,13.8,2.9,7.3,1.2,0.4,14.9,19.7,84.3,72.9,0,37.6,5,16.8,21.3,10.2,42,52
MIDWEST HEALTH,350,10,2,0,0,0,0,100,0,0,3,3,3.1,3.3,3.8,3.3,0.6,48.9,50.3,0.4,11,1.1,137145.1,13714.51,0,0,25.2,15.7,0.5,5.2,74.7,58.4,64.3,2.01,1.77,14,2.8,6.9,1.3,2.3,16.6,15.6,95,92.3,0,44.4,5,5.4,18.6,10.2,32.5,3.2
MILLENNIUM HEALTH SYSTEMS,351,5,2,0,1,1,20,100,0,0,3.4,3,3.4,3.8,4.4,4,1,26.6,46.9,0,4,0.8,290991.7,58198.34,0,0,34.1,9.8,0.4,1.9,60.3,63,54.1,2.2,0.37,8.9,0.6,7.6,2.4,1.3,12.4,10.4,92.5,81.2,0.4,56,4.5,1.3,27.4,10.5,32.4,1.5
MILLER'S MERRY MANOR,352,33,1,0,0,2,6.1,97,0,3,3.4,3.4,2.2,4.2,3.6,3.2,0.7,60,54.7,,15,0.5,260539.25,7895.13,1,0,22.6,10.3,1.1,4.2,76.6,81.3,84.9,1.45,1.17,12.1,4.1,6.9,2.4,0.5,12.4,13.4,97.7,94.5,0.1,47,5.7,13.8,16,10.3,45.8,20
MISSION HEALTH COMMUNITIES,354,40,5,0,1,3,7.5,100,0,0,2.4,2.5,2.7,3,3.4,3,0.6,53,44.3,0.3,47,1.2,962749.29,24068.73,4,0.1,18.9,13.1,2.7,2.1,75.3,67.9,71.5,1.96,1.42,23.1,3.6,7.6,3.7,1.8,16.1,15.3,94.6,93.8,0,37.3,4.8,17.4,25.8,10.1,44.9,1.8
MISSION HEALTH SERVICES,355,5,2,0,0,1,20,60,40,0,2.4,2.6,1.6,4.2,3.2,2.7,0.6,59.4,50,1.5,14,2.8,109248.74,21849.75,1,0.2,14,10.1,1.2,2.3,74.5,79.2,81.3,1.06,0.91,18,3.3,4.6,3.2,1.6,18.6,17.2,97.4,87.7,0.2,43.2,4.5,13.4,26.4,8.9,17.5,1.2
MISSION POINT HEALTHCARE SERVICES,356,25,1,0,4,10,40,100,0,0,2.4,2.2,2.5,4.1,3.3,2.9,0.6,57.1,51.9,1.2,137,5.5,3622240.5,144889.62,33,1.3,23.8,11,1.3,1.7,78.3,74.5,81.3,1.56,0.85,13.7,2.9,7.3,2,0.6,9.5,9.8,93.5,94.4,0.1,41,5.3,3.5,17.8,10.1,36,17
MISSISSIPPI CARE CENTER,357,5,1,0,0,0,0,100,0,0,2.6,2.8,4,2.4,4.1,3.3,0.6,49.3,33,1,4,0.8,21671,4334.2,0,0,27.8,9.3,3,2,66.5,91.5,92.8,2.19,1.48,20.5,3,7.1,4.2,1.1,24.7,19.1,99.7,99.2,0.2,44.8,5.3,1.8,25,13.4,51.5,2.4
ML HEALTHCARE,358,7,2,0,0,0,0,100,0,0,2.4,2.7,1.6,4,3.2,2.8,0.4,66.5,69.6,1,17,2.4,163781.69,23397.38,0,0,25.4,17.3,1.2,1.2,92,55.7,66.1,2.02,1.83,10.7,4.4,6.5,1.4,1.1,13.7,12.7,92.2,81.4,0.1,49.8,6.7,3.2,22.9,10,22,13.8
MOMENTUM SKILLED SERVICES,360,6,1,0,0,0,0,50,0,50,2.5,2.8,1.3,3.8,3.4,3,0.2,64.1,85.9,0.7,13,2.2,384789.1,64131.52,1,0.2,23.9,9.6,1.1,2.8,80.8,88.3,88.8,2.6,1.8,7,6,7.2,0.6,0.9,11.6,11.2,98,98.2,0,60,4.4,3.2,17.3,11.1,2.6,2.2
MONARCH HEALTHCARE MANAGEMENT,361,44,2,0,1,2,4.5,93.2,4.5,2.3,2.1,2.2,3,3,3.4,3,0.7,50.1,53.9,0.9,175,4,2164452.17,49192.09,10,0.2,19.7,14.3,2.2,2.4,76.7,69.7,81.4,1.75,1.42,20.1,3,8.7,1.9,2.1,19.7,14.8,93.4,91.9,0,48.1,6,6.9,12.4,10,50.9,19.3
NAHS,362,22,1,0,0,0,0,100,0,0,3.7,3.1,3.3,4.6,4.4,3.9,0.5,50,53.2,0.7,37,1.7,269187.63,12235.8,3,0.1,22.8,12.3,1,0.8,88.6,93.1,97,2.03,1.17,5.8,1.6,8.8,1.5,1.1,8.5,7.4,98.6,99.2,0,40.1,5.4,9.1,10.1,10.6,45.1,26.1
NATIONAL HEALTH CARE ASSOCIATES,363,32,6,0,1,2,6.3,100,0,0,3.1,2.8,2.5,4,3.7,3.3,0.6,45.5,47.2,0.8,28,0.9,319435.13,9982.35,2,0.1,23,12.7,0.8,2.7,80.6,69.2,67.7,1.43,0.97,16.4,3.7,6.8,1.5,0.7,15.8,12.9,95.7,88.5,0,62.9,7.4,31.8,19.1,9.8,40.1,2.9
NATIONAL HEALTHCARE CORPORATION,364,64,7,0,1,3,4.7,100,0,0,3.7,3.5,3.4,3.6,3.9,3.3,0.7,58.3,37.4,0.3,48,0.8,709358.95,11083.73,4,0.1,20.2,10.2,1.6,1.2,77,87.6,84.6,1.56,0.93,14.6,4.5,6.6,4.1,1.9,23.8,17.7,95.6,89.7,0,56.3,5.8,4.3,24.3,11.2,42.8,7
NATIONAL LUTHERAN COMMUNITIES & SERVICES,365,3,2,0,0,0,0,0,100,0,4,3.7,4.3,4,4.6,4.1,1.1,46.3,42.5,0.3,1,0.3,655.01,218.34,0,0,13.1,9.6,0.8,4,74.3,82.1,94.5,1.17,0.78,22.1,2.2,6.3,1.7,0.3,21,16.4,97,87.5,0,62.2,4.4,1.8,25.3,9,71.9,4.2
NATIONWIDE HEALTHCARE SERVICES,366,7,2,1,1,1,14.3,100,0,0,2.3,2.3,2.7,2.7,3.7,3.4,0.7,55.8,56.7,0,13,1.9,462019.38,66002.77,0,0,25.1,14.1,1.2,4.2,69.8,43.2,38.7,2.23,1.54,12.9,2.6,7.8,1.5,1.3,20,18.7,91.9,75.4,0,56,8.4,2,16.6,9.9,53.1,22
NEURORESTORATIVE,367,5,3,0,0,0,0,100,0,0,3.4,3,3.4,3.6,7.6,7.3,2.4,63.4,58,1,15,3,117115.98,23423.2,0,0,21.9,14.9,5,1.1,83.4,78.6,74.6,1.54,0.89,14.9,0.5,7.1,2.5,1.8,26.8,22.2,93.9,86.9,2.1,66.7,2.3,1.2,38.5,10.4,21.2,8.8
NEW YORK CITY HEALTH + HOSPITALS,368,5,1,0,0,0,0,0,0,100,4.8,3.6,4.4,5,4.6,3.8,1.5,34.5,42.5,0,2,0.4,1312.94,262.59,0,0,16.4,6.4,0.5,3.5,78.9,78,67.4,1.5,0.46,5.4,1.1,14.8,0.7,0.3,10.9,9,99.2,96.2,0.9,41.8,3.7,7,4.4,9.5,57.3,12.4
NEXCARE HEALTH SYSTEMS,369,18,1,0,0,0,0,100,0,0,3.5,3.1,3.4,4.6,3.6,3.2,0.6,53.4,45,0.7,29,1.6,701896.2,38994.23,6,0.3,22.7,8.4,1,1,82.2,77.1,73.3,1.89,0.77,10.8,2.8,7.4,1.6,0.8,9.3,9.2,92.9,88.2,0,38.2,5.9,2,15.2,10.8,43,13.9
NEXION HEALTH,370,49,3,0,1,8,16.3,91.8,0,8.2,2.2,2.4,1.8,2.9,3.4,3,0.4,50.8,44.6,0.3,52,1.1,1278966.44,26101.36,5,0.1,24.9,14.4,2.3,2.9,67,85.6,87.6,2.05,1.53,11.5,3.1,7,1,1.6,15,17.8,99.3,99.3,0.1,50.7,5.3,2.3,24.2,11,18.4,4.2
NEXT STEP HEALTHCARE,371,16,1,0,2,1,6.3,100,0,0,2.1,2,2.8,2.6,3.3,3,0.7,52.7,67.3,0.8,34,2.1,876756.88,54797.31,2,0.1,25.3,11.2,1.4,2.2,66.7,56.1,47.7,2.21,1.12,25.3,2.8,6.3,1.7,1.4,19.6,21.3,86.7,77.8,0.4,53.1,6.6,1.5,23.1,10.7,60.9,38.1
NHS MANAGEMENT,372,48,4,0,2,2,4.2,100,0,0,2.4,2.4,3.2,2.6,4,3.3,0.5,56.3,52.8,4.5,32,0.7,1144961.85,23853.37,2,0,27.2,13.3,2.3,3.7,74.8,76.9,83.2,2.23,1.27,20.6,2.8,11.1,1.9,1.9,11.3,12.4,92.2,95,0,41.3,5.6,1.3,24.4,10.7,16.9,1.6
NOLAND HEALTH,374,9,1,0,0,0,0,11.1,88.9,0,2.8,2.6,3.8,3.4,3.6,2.9,0.5,51.2,42.9,0.4,6,0.7,21346,2371.78,0,0,25.3,10.6,2.7,2.2,73.5,72.4,64.7,1.95,0.85,20.6,3.1,7.8,4.5,1.6,8.8,8.2,93,82.6,0,45.1,7.6,0.8,22.5,10.2,26.9,0.3
NORTH COUNTRY ASSOCIATES,375,9,1,0,1,0,0,100,0,0,2.2,2.2,3.3,3.1,4.5,4.1,0.9,58.5,53.2,0.7,6,0.7,191967.4,21329.71,0,0,13.1,18,2.7,1.7,65,65.2,61.1,1.67,1.71,17.9,4.1,6,4.2,1.6,19.3,11.7,94.6,87,0,58.6,5.9,3.4,15.6,9.3,41.6,4.5
NORTH MISSISSIPPI HEALTH SERVICES,376,2,2,0,0,0,0,0,100,0,2.5,2.5,4.5,1.5,4.2,3.5,0.9,38.8,31.9,0,0,0,0,0,0,0,34.8,11.9,4,0,55.4,81.8,94.4,2.25,0.65,18.3,3,8,5.4,3.1,22.3,21.4,98.5,98.6,0,24.8,8.4,0,18.2,10.3,1.5,0
NORTH SHORE HEALTHCARE,377,59,4,0,1,1,1.7,100,0,0,2.8,2.8,2.8,3.6,3.2,2.8,0.9,55.6,49.6,0.8,92,1.6,2461335.49,41717.55,15,0.3,17,13.8,1.2,3.4,75.4,78.7,88.9,1.43,1.46,14.3,2.9,7.7,2.4,1.3,19.2,13.9,95.1,96.8,0.2,50.7,4,3.9,14.6,10.1,55,16.1
NURSING CARE MANAGEMENT OF AMERICA,379,5,2,0,0,0,0,100,0,0,2.2,2.4,2.4,3,3.3,2.9,0.6,54,48.9,0.7,22,4.4,184916.87,36983.37,2,0.4,21,13.4,1.7,1.6,70.6,67.9,76.5,2.01,1.32,14.4,4,6.4,1.8,0.9,20.8,18,86.7,85.3,0.3,53.6,9,9.4,19.2,10.1,44.8,10.1
O'NEILL HEALTHCARE,380,6,1,0,0,0,0,100,0,0,5,4,2.7,5,3.9,3.5,0.5,53.4,34.4,0.8,3,0.5,44721.25,7453.54,0,0,24.7,9.2,1.6,1.5,84.7,80.6,89,1.37,0.43,5.1,1.2,5.8,0.6,0.5,4.4,5.8,95,94,0,33.2,4.6,14.6,17.9,10.1,,
OAKBEND MEDICAL CENTER,579,11,1,0,0,1,9.1,81.8,18.2,0,2.5,2.7,1.4,4,3.1,2.7,0.4,61.8,61.1,1.3,15,1.4,445586.06,40507.82,0,0,23.4,13.4,1.5,0.8,69.6,82.7,94.3,2.04,1.37,7.9,1.7,11.1,1,0.4,11.9,13.9,97.9,97.2,0.3,56.4,4.3,5.2,21.6,10.6,40.7,9.9
OCEAN HEALTHCARE,381,11,1,0,0,0,0,100,0,0,3.7,3.3,2.6,4.5,3.2,2.8,0.5,45.5,45.7,0.5,16,1.5,151195.35,13745.03,0,0,26,8.2,0.7,2.8,83,79.6,75.7,1.75,0.78,6.9,3.1,7.7,1.5,0.9,13.5,11.6,97.4,93.4,0,45.5,6.6,3.3,14.2,11.6,40.3,1.8
OHANA PACIFIC MANAGEMENT CO.,382,6,1,0,1,0,0,100,0,0,3.8,3,4.3,4.3,4.2,3.7,1.4,41.5,50.7,0.3,5,0.8,156987.35,26164.56,1,0.2,16.2,16.9,1,2.1,76.2,83.2,80.4,1.35,1.01,10.3,3.7,6.1,1.9,1.6,18.6,9.6,94.5,88.1,0,36.5,5.7,2.7,5.4,9,60.7,21.4
OHIO LIVING COMMUNITIES,383,11,1,0,0,1,9.1,9.1,90.9,0,4.5,4.1,4,4.3,4.8,4.3,1,60.7,46.5,0.3,16,1.5,55395.53,5035.96,3,0.3,25.4,13.1,1.3,2.9,78.8,70.2,90.3,1.81,0.9,13.6,5,4.8,1.8,0,11.1,8.5,91.5,94.7,0,45.4,4.7,21.7,15.3,11.3,60.6,3.7
"OKLAHOMA NURSING HOMES, LTD.",384,7,1,0,0,0,0,100,0,0,2.1,2.6,3.5,2,3.8,3.4,0.5,58.2,71.4,0,47,6.7,225566.51,32223.79,2,0.3,23.1,20.8,0.8,2,81.8,79.4,84.1,2.8,2.45,12.5,8.1,11.1,3.8,4.1,16.5,17.6,97.3,94.5,0,22.4,6.6,3.5,28,10.2,33.3,9.3
ONYX HEALTH,385,6,1,0,0,0,0,100,0,0,3.8,2.8,3.7,5,3.6,3.3,1,37.7,48,0.5,9,1.5,115751.17,19291.86,0,0,26.3,5,2.3,1.3,84.5,91.1,92.8,2.25,0.3,10.9,1.2,8.3,0.9,0.5,7.9,8,99,99.6,0,50.6,5.4,4.5,24.4,10.5,25.5,11.8
OPIS SENIOR SERVICES GROUP,574,10,1,0,0,0,0,100,0,0,3.4,2.9,1.9,4.7,3.4,3.2,0.4,65.5,67.6,1.3,12,1.2,234763.17,23476.32,1,0.1,19.8,9.4,1.7,2.1,87.4,66.6,66.4,1.62,0.74,13.1,3.7,8.2,0.7,0.6,9.8,8.6,95.1,89.4,0,59.3,11.1,6.3,25.4,10.4,59.2,42.1
OPTALIS HEALTH & REHABILITATION,601,25,2,0,0,1,4,100,0,0,2.8,2.4,2.5,4.4,3.8,3.3,0.6,57.8,51.9,0.8,66,2.6,2065996.17,82639.85,17,0.7,25.6,10.5,1.1,2.2,83.1,84.2,87.5,2.06,0.84,9.3,2.5,10,1.3,0.8,15.3,10.6,95.7,94.6,0,56.3,8.2,16.3,15.3,10.8,36.8,16.7
OPTIMA CARE,386,5,2,0,0,0,0,100,0,0,2.6,2,3.2,4.8,3.7,3.3,0.8,31.8,36.4,1,10,2,143735.34,28747.07,0,0,23.3,5.8,0.5,2.1,81.4,88,90.1,1.54,0.39,4.7,1.6,8.8,1.1,0.3,12.5,14.8,97.4,97,0,50.9,3.4,10.5,12.7,10.5,55.2,6.4
OPTIMUM HEALTHCARE MANAGEMENT,387,8,1,0,0,0,0,75,0,25,2.8,3.3,1.3,3.3,3,2.6,0.3,62.9,61.8,0.9,18,2.3,102105.28,12763.16,0,0,25.4,10.7,1.3,1.3,69.8,90.8,93.4,2.14,1.04,9.3,3.5,7.7,0.8,0.7,20,20.1,99.5,98.5,0.2,54,3.5,3.3,23.6,10.3,25.7,9
